src_addr,src_port,dst_addr,dst_port,protocol,packet_len
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
34.68.219.28,5986,10.21.75.34,53073,TCP,350
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
192.111.4.100,443,10.21.75.34,53150,TCP,87
10.21.75.34,53150,192.111.4.100,443,TCP,56
10.21.75.34,53150,192.111.4.100,443,TCP,87
10.21.75.34,53150,192.111.4.100,443,TCP,56
192.111.4.100,443,10.21.75.34,53150,TCP,56
10.21.75.34,52897,23.33.16.216,443,TCP,573
10.21.75.34,52896,23.33.16.216,443,TCP,573
10.21.75.34,52906,34.107.221.82,80,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,1111
34.68.219.28,5986,10.21.75.34,53073,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,490
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,350
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53022,10.115.53.27,5004,TCP,434
10.21.75.34,53020,10.115.53.47,5004,TCP,434
10.21.75.34,53073,34.68.219.28,5986,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,1111
34.68.219.28,5986,10.21.75.34,53073,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,490
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,350
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53030,10.69.174.17,5004,TCP,308
10.21.75.34,53073,34.68.219.28,5986,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,1111
34.68.219.28,5986,10.21.75.34,53073,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
34.68.219.28,5986,10.21.75.34,53073,TCP,490
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
34.68.219.28,5986,10.21.75.34,53073,TCP,350
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,64523,171.70.168.183,53,UDP,76
171.70.168.183,53,10.21.75.34,64523,UDP,348
10.21.75.34,53162,192.111.4.107,443,TCP,68
192.111.4.107,443,10.21.75.34,53162,TCP,64
10.21.75.34,53162,192.111.4.107,443,TCP,56
10.21.75.34,53162,192.111.4.107,443,TCP,573
192.111.4.107,443,10.21.75.34,53162,TCP,56
192.111.4.107,443,10.21.75.34,53162,TCP,1304
192.111.4.107,443,10.21.75.34,53162,TCP,1304
192.111.4.107,443,10.21.75.34,53162,TCP,1304
10.21.75.34,53162,192.111.4.107,443,TCP,56
192.111.4.107,443,10.21.75.34,53162,TCP,1304
10.21.75.34,53162,192.111.4.107,443,TCP,56
192.111.4.107,443,10.21.75.34,53162,TCP,1304
10.21.75.34,53162,192.111.4.107,443,TCP,56
192.111.4.107,443,10.21.75.34,53162,TCP,299
10.21.75.34,53162,192.111.4.107,443,TCP,56
10.21.75.34,53162,192.111.4.107,443,TCP,56
10.21.75.34,53162,192.111.4.107,443,TCP,56
10.21.75.34,53162,192.111.4.107,443,TCP,56
10.21.75.34,53162,192.111.4.107,443,TCP,999
192.111.4.107,443,10.21.75.34,53162,TCP,107
10.21.75.34,53162,192.111.4.107,443,TCP,56
10.21.75.34,53162,192.111.4.107,443,TCP,543
192.111.4.107,443,10.21.75.34,53162,TCP,257
10.21.75.34,53162,192.111.4.107,443,TCP,56
10.21.75.34,53162,192.111.4.107,443,TCP,544
192.111.4.107,443,10.21.75.34,53162,TCP,257
10.21.75.34,53162,192.111.4.107,443,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,1111
34.68.219.28,5986,10.21.75.34,53073,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,1111
10.21.75.34,53010,10.50.172.141,5004,TCP,434
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,490
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,350
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53009,10.50.172.171,5004,TCP,434
10.21.75.34,52912,34.107.221.82,80,TCP,44
10.21.75.34,52912,34.107.221.82,80,TCP,363
10.21.75.34,53162,192.111.4.107,443,TCP,559
192.111.4.107,443,10.21.75.34,53162,TCP,257
10.21.75.34,53162,192.111.4.107,443,TCP,56
10.21.75.34,53162,192.111.4.107,443,TCP,560
10.21.75.34,53162,192.111.4.107,443,TCP,571
10.21.75.34,53162,192.111.4.107,443,TCP,650
10.21.75.34,53162,192.111.4.107,443,TCP,714
10.21.75.34,53162,192.111.4.107,443,TCP,629
10.21.75.34,53162,192.111.4.107,443,TCP,595
10.21.75.34,53162,192.111.4.107,443,TCP,583
10.21.75.34,53162,192.111.4.107,443,TCP,581
10.21.75.34,53162,192.111.4.107,443,TCP,442
10.21.75.34,53162,192.111.4.107,443,TCP,571
192.111.4.107,443,10.21.75.34,53162,TCP,257
10.21.75.34,53162,192.111.4.107,443,TCP,56
192.111.4.107,443,10.21.75.34,53162,TCP,257
10.21.75.34,53162,192.111.4.107,443,TCP,56
192.111.4.107,443,10.21.75.34,53162,TCP,56
192.111.4.107,443,10.21.75.34,53162,TCP,257
10.21.75.34,53162,192.111.4.107,443,TCP,56
192.111.4.107,443,10.21.75.34,53162,TCP,257
10.21.75.34,53162,192.111.4.107,443,TCP,56
192.111.4.107,443,10.21.75.34,53162,TCP,257
10.21.75.34,53162,192.111.4.107,443,TCP,56
192.111.4.107,443,10.21.75.34,53162,TCP,257
10.21.75.34,53162,192.111.4.107,443,TCP,56
192.111.4.107,443,10.21.75.34,53162,TCP,257
10.21.75.34,53162,192.111.4.107,443,TCP,56
192.111.4.107,443,10.21.75.34,53162,TCP,257
10.21.75.34,53162,192.111.4.107,443,TCP,56
192.111.4.107,443,10.21.75.34,53162,TCP,56
192.111.4.107,443,10.21.75.34,53162,TCP,429
10.21.75.34,53162,192.111.4.107,443,TCP,56
10.21.75.34,53162,192.111.4.107,443,TCP,589
10.21.75.34,56595,171.70.168.183,53,UDP,63
10.21.75.34,52136,171.70.168.183,53,UDP,63
10.21.75.34,51096,171.70.168.183,53,UDP,63
10.21.75.34,53162,192.111.4.107,443,TCP,572
171.70.168.183,53,10.21.75.34,56595,UDP,63

No attribute named ip
Just arrived: Packet (Length: 88)
Layer NULL:
	Family: IPv6 (30)
Layer IPV6:
	0110 .... = Version: 6
	.... 0000 0000 .... .... .... .... .... = Traffic Class: 0x00 (DSCP: CS0, ECN: Not-ECT)
	.... 0000 00.. .... .... .... .... .... = Differentiated Services Codepoint: Default (0)
	.... .... ..00 .... .... .... .... .... = Explicit Congestion Notification: Not ECN-Capable Transport (0)
	.... 0111 0000 0111 0000 0000 = Flow Label: 0x70700
	Payload Length: 44
	Next Header: TCP (6)
	Hop Limit: 64
	Source Address: 2001:420:c0c8:1004::148
	Destination Address: 2600:1406:1400:68c::1aca
Layer TCP:
	Source Port: 53163
	Destination Port: 443
	Stream index: 15
	Conversation completeness: Incomplete (0)
	TCP Segment Len: 0
	Sequence Number: 0    (relative sequence number)
	Sequence Number (raw): 1271920143
	Next Sequence Number: 1    (relative sequence number)
	Acknowledgment Number: 0
	Acknowledgment number (raw): 0
	1011 .... = Header Length: 44 bytes (11)
	Flags: 0x0c2 (SYN, ECN, CWR)
	000. .... .... = Reserved: Not set
	...0 .... .... = Nonce: Not set
	.... 1... .... = Congestion Window Reduced (CWR): Set
	.... .1.. .... = ECN-Echo: Set
	.... ..0. .... = Urgent: Not set
	.... ...0 .... = Acknowledgment: Not set
	.... .... 0... = Push: Not set
	.... .... .0.. = Reset: Not set
	.... .... ..1. = Syn: Set
	Expert Info (Chat/Sequence): Connection establish request (SYN): server port 443
	Connection establish request (SYN): server port 443
	Severity level: Chat
	Group: Sequence
	.... .... ...0 = Fin: Not set
	TCP Flags: ····CE····S·
	Window: 65535
	Calculated window size: 65535
	Checksum: 0x2c4f [unverified]
	Checksum Status: Unverified
	Urgent Pointer: 0
	Options: (24 bytes), Maximum segment size, No-Operation (NOP), Window scale, No-Operation (NOP), No-Operation (NOP), Timestamps, SACK permitted, End of Option List (EOL)
	TCP Option - Maximum segment size: 1330 bytes
	Kind: Maximum Segment Size (2)
	Length: 4
	MSS Value: 1330
	TCP Option - No-Operation (NOP)
	TCP Option - Window scale: 6 (multiply by 64)
	Shift count: 6
	Multiplier: 64
	TCP Option - Timestamps: TSval 1998133886, TSecr 0
	Timestamp value: 1998133886
	Timestamp echo reply: 0
	TCP Option - SACK permitted
	TCP Option - End of Option List (EOL)
	Timestamps
	Time since first frame in this TCP stream: 0.000000000 seconds
	Time since previous frame in this TCP stream: 0.000000000 seconds
	Kind: No-Operation (1)
	Kind: Window Scale (3)
	Kind: No-Operation (1)
	Kind: No-Operation (1)
	Kind: Time Stamp Option (8)
	Kind: SACK Permitted (4)
	Kind: End of Option List (0)
	Length: 3
	Length: 10
	Length: 2
	TCP Option - No-Operation (NOP)
	TCP Option - No-Operation (NOP)

171.70.168.183,53,10.21.75.34,51096,UDP,219
171.70.168.183,53,10.21.75.34,52136,UDP,343
10.21.75.34,51665,171.70.168.183,53,UDP,75
10.21.75.34,54397,171.70.168.183,53,UDP,75
10.21.75.34,53162,192.111.4.107,443,TCP,651
10.21.75.34,53162,192.111.4.107,443,TCP,630
No attribute named ip
Just arrived: Packet (Length: 84)
Layer NULL:
	Family: IPv6 (30)
Layer IPV6:
	0110 .... = Version: 6
	.... 0000 0000 .... .... .... .... .... = Traffic Class: 0x00 (DSCP: CS0, ECN: Not-ECT)
	.... 0000 00.. .... .... .... .... .... = Differentiated Services Codepoint: Default (0)
	.... .... ..00 .... .... .... .... .... = Explicit Congestion Notification: Not ECN-Capable Transport (0)
	.... 1110 1100 1100 0101 1110 = Flow Label: 0xecc5e
	Payload Length: 40
	Next Header: TCP (6)
	Hop Limit: 50
	Source Address: 2600:1406:1400:68c::1aca
	Destination Address: 2001:420:c0c8:1004::148
Layer TCP:
	Source Port: 443
	Destination Port: 53163
	Stream index: 15
	Conversation completeness: Incomplete, SYN_SENT (1)
	TCP Segment Len: 0
	Sequence Number: 0    (relative sequence number)
	Sequence Number (raw): 2326589418
	Next Sequence Number: 1    (relative sequence number)
	Acknowledgment Number: 1    (relative ack number)
	Acknowledgment number (raw): 1271920144
	1010 .... = Header Length: 40 bytes (10)
	Flags: 0x052 (SYN, ACK, ECN)
	000. .... .... = Reserved: Not set
	...0 .... .... = Nonce: Not set
	.... 0... .... = Congestion Window Reduced (CWR): Not set
	.... .1.. .... = ECN-Echo: Set
	.... ..0. .... = Urgent: Not set
	.... ...1 .... = Acknowledgment: Set
	.... .... 0... = Push: Not set
	.... .... .0.. = Reset: Not set
	.... .... ..1. = Syn: Set
	Expert Info (Chat/Sequence): Connection establish acknowledge (SYN+ACK): server port 443
	Connection establish acknowledge (SYN+ACK): server port 443
	Severity level: Chat
	Group: Sequence
	.... .... ...0 = Fin: Not set
	TCP Flags: ·····E·A··S·
	Window: 64260
	Calculated window size: 64260
	Checksum: 0xafcd [unverified]
	Checksum Status: Unverified
	Urgent Pointer: 0
	Options: (20 bytes), Maximum segment size, SACK permitted, Timestamps, No-Operation (NOP), Window scale
	TCP Option - Maximum segment size: 1260 bytes
	Kind: Maximum Segment Size (2)
	Length: 4
	MSS Value: 1260
	TCP Option - SACK permitted
	TCP Option - Timestamps: TSval 2769646472, TSecr 1998133886
	Timestamp value: 2769646472
	Timestamp echo reply: 1998133886
	TCP Option - No-Operation (NOP)
	TCP Option - Window scale: 7 (multiply by 128)
	Shift count: 7
	Multiplier: 128
	Timestamps
	Time since first frame in this TCP stream: 0.034408000 seconds
	Time since previous frame in this TCP stream: 0.034408000 seconds
	SEQ/ACK analysis
	This is an ACK to the segment in frame: 297
	The RTT to ACK the segment was: 0.034408000 seconds
	Kind: SACK Permitted (4)
	Kind: Time Stamp Option (8)
	Kind: No-Operation (1)
	Kind: Window Scale (3)
	Length: 2
	Length: 10
	Length: 3

No attribute named ip
Just arrived: Packet (Length: 76)
Layer NULL:
	Family: IPv6 (30)
Layer IPV6:
	0110 .... = Version: 6
	.... 0000 0000 .... .... .... .... .... = Traffic Class: 0x00 (DSCP: CS0, ECN: Not-ECT)
	.... 0000 00.. .... .... .... .... .... = Differentiated Services Codepoint: Default (0)
	.... .... ..00 .... .... .... .... .... = Explicit Congestion Notification: Not ECN-Capable Transport (0)
	.... 0111 0000 0111 0000 0000 = Flow Label: 0x70700
	Payload Length: 32
	Next Header: TCP (6)
	Hop Limit: 64
	Source Address: 2001:420:c0c8:1004::148
	Destination Address: 2600:1406:1400:68c::1aca
Layer TCP:
	Source Port: 53163
	Destination Port: 443
	Stream index: 15
	Conversation completeness: Incomplete, CLIENT_ESTABLISHED (3)
	TCP Segment Len: 0
	Sequence Number: 1    (relative sequence number)
	Sequence Number (raw): 1271920144
	Next Sequence Number: 1    (relative sequence number)
	Acknowledgment Number: 1    (relative ack number)
	Acknowledgment number (raw): 2326589419
	1000 .... = Header Length: 32 bytes (8)
	Flags: 0x010 (ACK)
	000. .... .... = Reserved: Not set
	...0 .... .... = Nonce: Not set
	.... 0... .... = Congestion Window Reduced (CWR): Not set
	.... .0.. .... = ECN-Echo: Not set
	.... ..0. .... = Urgent: Not set
	.... ...1 .... = Acknowledgment: Set
	.... .... 0... = Push: Not set
	.... .... .0.. = Reset: Not set
	.... .... ..0. = Syn: Not set
	.... .... ...0 = Fin: Not set
	TCP Flags: ·······A····
	Window: 2067
	Calculated window size: 132288
	Window size scaling factor: 64
	Checksum: 0xd0e0 [unverified]
	Checksum Status: Unverified
	Urgent Pointer: 0
	Options: (12 bytes), No-Operation (NOP), No-Operation (NOP), Timestamps
	TCP Option - No-Operation (NOP)
	Kind: No-Operation (1)
	TCP Option - Timestamps: TSval 1998133921, TSecr 2769646472
	Length: 10
	Timestamp value: 1998133921
	Timestamp echo reply: 2769646472
	Timestamps
	Time since first frame in this TCP stream: 0.034470000 seconds
	Time since previous frame in this TCP stream: 0.000062000 seconds
	SEQ/ACK analysis
	This is an ACK to the segment in frame: 304
	The RTT to ACK the segment was: 0.000062000 seconds
	iRTT: 0.034470000 seconds
	TCP Option - No-Operation (NOP)
	Kind: No-Operation (1)
	Kind: Time Stamp Option (8)

No attribute named ip
Just arrived: Packet (Length: 593)
Layer NULL:
	Family: IPv6 (30)
Layer IPV6:
	0110 .... = Version: 6
	.... 0000 0010 .... .... .... .... .... = Traffic Class: 0x02 (DSCP: CS0, ECN: ECT(0))
	.... 0000 00.. .... .... .... .... .... = Differentiated Services Codepoint: Default (0)
	.... .... ..10 .... .... .... .... .... = Explicit Congestion Notification: ECN-Capable Transport codepoint '10' (2)
	.... 0111 0000 0111 0000 0000 = Flow Label: 0x70700
	Payload Length: 549
	Next Header: TCP (6)
	Hop Limit: 64
	Source Address: 2001:420:c0c8:1004::148
	Destination Address: 2600:1406:1400:68c::1aca
Layer TCP:
	Source Port: 53163
	Destination Port: 443
	Stream index: 15
	Conversation completeness: Incomplete, ESTABLISHED (7)
	TCP Segment Len: 517
	Sequence Number: 1    (relative sequence number)
	Sequence Number (raw): 1271920144
	Next Sequence Number: 518    (relative sequence number)
	Acknowledgment Number: 1    (relative ack number)
	Acknowledgment number (raw): 2326589419
	1000 .... = Header Length: 32 bytes (8)
	Flags: 0x018 (PSH, ACK)
	000. .... .... = Reserved: Not set
	...0 .... .... = Nonce: Not set
	.... 0... .... = Congestion Window Reduced (CWR): Not set
	.... .0.. .... = ECN-Echo: Not set
	.... ..0. .... = Urgent: Not set
	.... ...1 .... = Acknowledgment: Set
	.... .... 1... = Push: Set
	.... .... .0.. = Reset: Not set
	.... .... ..0. = Syn: Not set
	.... .... ...0 = Fin: Not set
	TCP Flags: ·······AP···
	Window: 2067
	Calculated window size: 132288
	Window size scaling factor: 64
	Checksum: 0x668f [unverified]
	Checksum Status: Unverified
	Urgent Pointer: 0
	Options: (12 bytes), No-Operation (NOP), No-Operation (NOP), Timestamps
	TCP Option - No-Operation (NOP)
	Kind: No-Operation (1)
	TCP Option - Timestamps: TSval 1998133921, TSecr 2769646472
	Length: 10
	Timestamp value: 1998133921
	Timestamp echo reply: 2769646472
	Timestamps
	Time since first frame in this TCP stream: 0.034879000 seconds
	Time since previous frame in this TCP stream: 0.000409000 seconds
	SEQ/ACK analysis
	iRTT: 0.034470000 seconds
	Bytes in flight: 517
	Bytes sent since last PSH flag: 517
	TCP payload (517 bytes)
	TCP Option - No-Operation (NOP)
	Kind: No-Operation (1)
	Kind: Time Stamp Option (8)
Layer TLS:
	TLSv1 Record Layer: Handshake Protocol: Client Hello
	Content Type: Handshake (22)
	Version: TLS 1.0 (0x0301)
	Length: 512
	Handshake Protocol: Client Hello
	Handshake Type: Client Hello (1)
	Length: 508
	Version: TLS 1.2 (0x0303)
	Random: ad65c3153947f40498a03ca373a99aed670036df9516767433784974ace6fd66
	GMT Unix Time: Mar  9, 2062 02:57:25.000000000 PST
	Random Bytes: 3947f40498a03ca373a99aed670036df9516767433784974ace6fd66
	Session ID Length: 32
	Session ID: b17cf650afa67c42fe885ed0fd50cabdfe02f8b53228ba125cdaf41905bfcf9c
	Cipher Suites Length: 42
	Cipher Suites (21 suites)
	Cipher Suite: Reserved (GREASE) (0x5a5a)
	Compression Methods Length: 1
	Compression Methods (1 method)
	Compression Method: null (0)
	Extensions Length: 393
	Extension: Reserved (GREASE) (len=0)
	Type: Reserved (GREASE) (47802)
	Length: 0
	Data: <MISSING>
	Server Name list length: 16
